231
187,63
252,38
860,22
105,7
734,34
517,10
890,49
106,45
899,11
77,7
878,35
179,68
967,59
721,36
606,60
1015,57
307,37
931,28
468,67
473,32
105,35
253,32
706,24
223,28
92,49
442,13
446,37
510,46
939,13
831,52
453,17
812,26
132,50
687,17
471,66
619,22
345,12
420,10
854,36
853,35
45,12
298,65
157,15
64,68
65,29
1019,38
870,66
980,28
963,53
594,50
16,49
195,29
987,11
868,48
866,7
517,46
398,63
942,10
641,13
54,69
354,57
918,41
995,61
354,13
406,54
902,48
746,65
107,10
475,51
1004,11
224,35
633,17
555,46
106,8
181,40
46,59
522,56
395,66
561,61
937,28
278,57
578,60
6,13
241,44
363,54
864,17
265,16
584,14
555,41
9,67
711,38
630,22
721,50
660,45
272,69
146,52
1020,69
476,62
501,33
636,34
47,35
626,33
667,37
24,44
620,62
80,56
923,22
736,35
931,11
493,47
406,45
143,64
1011,21
586,8
262,12
209,21
549,27
984,51
966,36
795,9
354,46
84,42
980,11
275,66
491,28
910,69
996,11
464,67
793,8
460,16
664,15
229,23
560,31
639,55
914,17
269,36
271,23
568,53
593,62
7,12
289,28
402,67
977,65
346,64
3,18
803,67
388,60
345,28
598,54
50,22
161,59
352,21
347,42
926,20
875,68
220,48
134,59
655,65
88,69
528,12
563,29
45,37
824,24
672,30
274,42
224,33
516,43
235,33
841,62
571,31
733,22
437,22
431,13
236,39
179,31
792,62
587,24
438,26
53,17
268,64
419,14
903,52
380,29
653,17
51,53
739,28
368,23
601,11
1015,35
175,17
729,46
789,33
361,47
194,68
807,68
425,56
672,33
177,7
506,48
892,42
231,19
590,40
947,58
630,26
996,68
458,57
798,47
662,66
977,25
946,44
487,7
75,41
528,8
580,21
414,43
1017,29
108,44
191,34
936,32
812,55
838,64
479,35
119,61
249,8
100,14
139,29
362,8
291,48
166,42
430,53
180,62
